participant_id	total_cnr	graycsflh	graycsfrh	graywhitelh	graywhiterh	left_euler	right_euler	left_holes	right_holes	left_total_defect_index	right_total_defect_index	graycsf_flag	graywhite_flag	euler_flag	total_outliers	flagged
sub-6052	0.933	0.557	0.494	1.435	1.245	-14	-28	8	15	16	30	0	0	0	0	0
sub-6053	1.035	0.553	0.59	1.574	1.423	-40	-34	21	18	42	36	0	0	0	0	0
sub-6056	0.966	0.682	0.597	1.377	1.207	-74	-42	38	22	76	44	0	0	0	0	0
sub-6058	0.925	0.538	0.514	1.361	1.286	-86	-58	44	30	88	60	0	0	0	0	0
sub-7003	0.676	0.404	0.405	0.985	0.911	-312	-328	157	165	314	330	1	1	1	3	1
sub-7004	0.757	0.437	0.456	1.112	1.025	-334	-376	168	189	336	378	0	1	1	2	1
sub-7007	1.196	0.863	0.928	1.552	1.439	-36	-26	19	14	38	28	0	0	0	0	0
sub-7008	1.096	0.746	0.729	1.501	1.409	-24	-16	13	9	26	18	0	0	0	0	0
sub-7009	0.957	0.605	0.526	1.429	1.27	-56	-52	29	27	58	54	0	0	0	0	0
sub-7010	1	0.741	0.703	1.327	1.229	-66	-50	34	26	68	52	0	0	0	0	0
sub-7011	1.035	0.709	0.621	1.501	1.311	-18	-28	10	15	20	30	0	0	0	0	0
sub-7012	0.998	0.688	0.649	1.322	1.333	-24	-24	13	13	26	26	0	0	0	0	0
sub-7013	1.246	1.083	0.967	1.481	1.453	-26	-50	14	26	28	52	0	0	0	0	0
sub-7014	1.118	0.79	0.714	1.561	1.406	-36	-44	19	23	38	46	0	0	0	0	0
sub-7016	1.091	0.789	0.846	1.447	1.281	-50	-52	26	27	52	54	0	0	0	0	0
sub-7017	1.069	0.77	0.689	1.461	1.354	-46	-34	24	18	48	36	0	0	0	0	0
sub-7018	0.977	0.755	0.723	1.26	1.168	-80	-74	41	38	82	76	0	0	0	0	0
sub-7019	1.117	0.846	0.852	1.426	1.343	-34	-48	18	25	36	50	0	0	0	0	0
sub-7021	1.049	0.641	0.691	1.487	1.376	-20	-30	11	16	22	32	0	0	0	0	0
sub-7022	1.148	0.956	0.868	1.404	1.365	-40	-30	21	16	42	32	0	0	0	0	0
sub-7023	1.204	1.031	0.892	1.509	1.385	-76	-30	39	16	78	32	0	0	0	0	0
sub-7024	1.18	0.804	0.828	1.61	1.477	-52	-38	27	20	54	40	0	0	0	0	0
sub-7025	1.039	0.761	0.691	1.373	1.333	-26	-18	14	10	28	20	0	0	0	0	0
sub-7026	1.386	1.222	1.215	1.572	1.537	-26	-28	14	15	28	30	0	0	0	0	0
sub-7027	1.136	0.805	0.767	1.544	1.429	-26	-36	14	19	28	38	0	0	0	0	0
sub-7028	1.012	0.684	0.66	1.333	1.371	-32	-40	17	21	34	42	0	0	0	0	0
sub-7029	0.982	0.629	0.617	1.362	1.323	-78	-92	40	47	80	94	0	0	0	0	0
sub-7030	1.171	0.916	0.946	1.478	1.342	-50	-18	26	10	52	20	0	0	0	0	0
sub-7031	1.067	0.924	0.875	1.252	1.218	-68	-40	35	21	70	42	0	0	0	0	0
sub-7032	1.346	1.204	1.236	1.445	1.498	-38	-56	20	29	40	58	0	0	0	0	0
sub-8001	1.132	0.657	0.671	1.681	1.52	-16	-18	9	10	18	20	0	0	0	0	0
sub-8002	1.092	0.752	0.696	1.546	1.375	-26	-30	14	16	28	32	0	0	0	0	0
sub-8003	0.855	0.588	0.557	1.165	1.109	-42	-42	22	22	44	44	0	0	0	0	0
sub-8004	1.146	0.829	0.813	1.456	1.487	-34	-28	18	15	36	30	0	0	0	0	0
sub-8006	0.892	0.561	0.557	1.309	1.14	-28	-34	15	18	30	36	0	0	0	0	0
sub-8008	1.018	0.627	0.633	1.446	1.367	-24	-30	13	16	26	32	0	0	0	0	0
sub-8009	1.165	0.678	0.724	1.718	1.542	-32	-26	17	14	34	28	0	0	0	0	0
sub-8010	1.212	0.923	1.016	1.271	1.636	-56	-32	29	17	58	34	0	0	0	0	0
sub-8011	0.954	0.825	0.692	1.232	1.066	-42	-50	22	26	44	52	0	0	0	0	0
sub-8013	1.015	0.818	0.753	1.286	1.203	-66	-48	34	25	68	50	0	0	0	0	0
sub-8014	1.134	0.73	0.75	1.487	1.568	-40	-32	21	17	42	34	0	0	0	0	0
sub-8015	1.247	1.036	0.886	1.573	1.492	-14	-30	8	16	16	32	0	0	0	0	0
sub-8016	0.847	0.565	0.472	1.246	1.105	-98	-88	50	45	100	90	0	0	0	0	0
sub-8017	1.045	0.651	0.64	1.455	1.435	-34	-36	18	19	36	38	0	0	0	0	0
sub-8018	1.265	1.004	0.969	1.54	1.548	-22	-10	12	6	24	12	0	0	0	0	0
sub-8019	0.972	0.71	0.684	1.318	1.177	-48	-44	25	23	50	46	0	0	0	0	0
sub-8020	1.063	0.777	0.735	1.435	1.306	-20	-22	11	12	22	24	0	0	0	0	0
sub-8022	1.239	0.94	0.868	1.608	1.54	-18	-16	10	9	20	18	0	0	0	0	0
sub-8023	1.005	0.566	0.596	1.376	1.481	-74	-68	38	35	76	70	0	0	0	0	0
sub-8026	1.029	0.601	0.603	1.506	1.405	-18	-10	10	6	20	12	0	0	0	0	0
sub-8027	1.23	0.836	0.822	1.647	1.616	-14	-22	8	12	16	24	0	0	0	0	0
sub-8028	1.027	0.701	0.701	1.414	1.291	-52	-60	27	31	54	62	0	0	0	0	0
sub-8029	1.138	0.857	0.854	1.442	1.4	-34	-34	18	18	36	36	0	0	0	0	0
sub-8030	1.011	0.649	0.66	1.388	1.348	-50	-38	26	20	52	40	0	0	0	0	0
sub-8031	1.359	1.137	1.112	1.604	1.584	-14	-24	8	13	16	26	0	0	0	0	0
